,Unnamed: 0,Ad_id,User_id,Judul,Kategori,Harga,Deskripsi,Alamat,Kecamatan,Kab/Kota,LAT,LON
0,0,814519906,66204183,Dijual villa mewah 2 lantai siap bangun furnished murah di area canggu,5158,Rp 3.500.000.000,"Dijual Cepat Villa Baru 2 lantai Murah Berkonsep Modern Fully Furnish berlokasi strategis  di parerenan canggu badung Bali  Lokasi sangat strategis area objek wisata dan pantai pantai  Kawasan Villa2 akses jalan aspal bisa mobil Bebas banjir  Spesifikasi :   Type 200/200  Luas tanah           200 m2 Luas bangunan    200 m2 ( 2 Lantai) Kamar tidur    3 Kamar mandi  4 + 1 bathtub Pasokan listrik 7700 watt Sumber Air Sumur bor Akses jalan 4 meter Bangunan hadap utara Garden Pool uk 3 x 7 Livingroom extra Carport Full furnish Sertifikat Hak milik Imb  Harga  Rp.3.500.000.000,-  Cara pembayaran bisa hard cash/tunai Bisa juga soft cash/ cicilan sesuai progress   Info lebih lanjut hubungi  Dhany RFauzi Via telp/ whatsapp  Investasi terbaik di lokasi yang terbaik dan strategis",Jl Raya Parerenan Canggu,Kuta Utara,Kab. Badung,-8.623130699999999,115.1375424
1,1,814225515,100694297,DEKAT MCD DAN KFC GATSU BARAT RUMAH BARU SIAP HUNI DAN SIAP BANGUN,5158,Rp 850.000.000,"Note: Mohon jangan chat di OLX,,bisa langsung wa ke no yg tertera di bwah..  Hanya di bangun 7 unit rumah saja di gatsu denpasar barat  Hunian.minimalis dan satu2nya rumah townhouse dengan design modern dengan 3 kamar tidur  Luas tanah mulai 70 mtr 3 kamar tidur dan 2 kamar mandi Shm Imb Listrik 2200 Air sumur bor  Khusus yang hard cash atau cash keras special Harga 850jt saja (hanya untuk 1 unit saja FREE PAJAK/NOTARIS/BALIK NAMA)  Dp 20-30% Bisa cash dan kredit",Perumahan cempaka reaidence gatsu denpasar barat,Denpasar Barat,Denpasar Kota,-8.641366900000001,115.1874772
2,2,784606170,32547289,Dijual rumah Kos murah di Pusat Kota Singaraja Buleleng Bali,5158,Rp 700.000.000,"Sangat strategis, sangat dekat dengan TK, SD, SMP, SMA, Tempat Wisata Krisna dan fasilitas umum lainnya.   Lantai 1 6 kamar Lantai 2 siap dibangun 6 kamar, tinggal dibangun karena sudah dicor  Fasilitas : Spring Bed, lemari, kamar mandi dalam (tehel artistik), westafel, parkir, dan lain  masih sangat baru !!  Bisa cek lokasi dan tanya2 dulu. Harga terjangkau utk lokasi di pusat kota   Matur Suksma.","Jalan Srikandi gg Mawar blok A/1 Sambangan , Buleleng, Bali",Buleleng,Buleleng Kab.,-8.132627099999999,115.0872174
3,3,803817046,55542589,Dijual rumah minimalis dekat baypass Ida Bagus Mantra Gianyar,5158,Rp 310.000.000,"Mahardika Residence  Unit rumah minimalis Type 36/65 = 310jt  Free :  - SHM atas nama pembeli  - IMB  Lokasi : Br Gelgel, Keramas Bypass IB Mantra Utara Hotel Komaneka Dekat dengan akses publik - Aero Park - Taman Safari - Pantai Keramas - Rs Kasih Ibu - Sekolah - Pasar tradisional Hanya 2 menit dari Bypass IB Mantra ke lokasi!  Jalan di lokasi 7 meter dan 5 meter aspal. Di kawasan lokasi sedang dibangun wahana.   Melayani : - Cash&credit - Dp 25% sampai 30% sampai 25thn","Jl kurusetra, keramas, blahbatuh, gianyar",Gianyar,Gianyar Kab.,-8.5798797,115.323273
4,4,815368547,27554760,"Rumah pulau Moyo,dkt Sesetan,Pesanggaran,pedungan,gurita",5158,Rp 1.400.000.000,"Dijual rumah minimalis lantai 2 di jl pulau Moyo ,dekat Sesetan,Pesanggaran,tol,bypass denpasar selatan..Lokasi strategis, lingkungan bersih aman dan nyaman Spesifikasi  Luas Tanah 100m2 Luas bangunan 120m2 Kamar Tidur 3 Kamar mandi 4 Ruang tamu ,ruang keluarga,dapur,carpot,balkon atas depan,dan belakang dapat view sawah. Hadap Utara Akses jalan 4mtr SHM dan IMB lengkap Sumber Air PDAM Listrik 2200 watt Masuk dari jalan utama hanya 75 meter saja  Harga 1,4 miliar",Jl pulau moyo,Denpasar Selatan,Denpasar Kota,-8.7021648,115.2131135
5,5,802071285,3047140,Rumah bagus murah di Renon Sanur Denpasar Bali,5158,Rp 2.750.000.000,Rumah mewah harga murah teknologi jepang anti gempa di Renon. Lok strategis tengah kota aman nyaman. Easy payment,"Renon, denpasar selatan, bali",Denpasar Selatan,Denpasar Kota,-8.686289499999999,115.2393046
6,6,806869857,94201945,Rumah Dibawah 1M dengan Private Pool di Goa Gong dekat Pantai Pandawa,5158,Rp 950.000.000,"MAURINDO LAND  READY 1 LANTAI   CLUSTER HOUSE RESIDENCE UNGASAN  Miliki hunian rumah baru yang dikelilingi oleh berbagai macam tempat wisata kelas dunia  Akses jalan 6 meter & one gate system  Terdapat dua pilihan tipe rumah. 1 lantai & 2 lantai  1 FLOOR PLAN Luas tanah bervariatif : 103m2 dan 108m2 Luas bangunan 57m2 Kamar tidur 2 Kamar mandi 2 Ruang keluarga Ruang makan Dapur Carport Pool  2 FLOOR PLAN Luas tanah bervariatif : 124m2 dan 200m2 Luas bangunan 88m2 Kamar tidur 2 Kamar mandi 3 Ruang keluarga Ruang makan Dapur Garden Carport Pool  HARGA MULAI IDR 950 JUTAAN , PRIVATE POOL, REQUEST FULLY FURNISH, DAN MENGGANTI DESAIN BAGIAN DALAM RUMAH SESUAI PERMINTAAN  Lokasi super strategis dekat dengan : 10 mins Omnia day club, Ulucliff house, Uluwatu temple, Pandawa beach, Padang padang, Dreamland beach, Karma Kandara, Melasti beach  Terdapat banyak sekolah internasional dan dekat dengan berbagai macam kampus serta pusat perbelanjaan & pariwisata  Note : Rumah 1 lantai READY, rumah 2 lantai INDEN 6/8 BULAN  CASH BERTAHAP Cicilan ke developer 12x dengan bunga 0%",Goa Gong,Kuta Selatan,Kab. Badung,-8.164919,110.9801202
8,8,784696728,94201945,Rumah di Bali Hanya 390 Juta Buruan,5158,Rp 390.000.000,"KANAKA HILL RESIDENCE NUSA DUA BALI  Last unit!! Miliki segera Rumah cantik Minimalis super Murah exclusive berada di kawasan wisata,Hotel dan Villa, Mumbul Nusa Dua Badung Bali.  Spesifikasi : Rumah inden pesan bangun. type 36/50m2 2kmr tidur 1kmr mandi R.Tamu Dapur Garase Listrik 1300 watt Air PDAM SHM/IMB Lengkap  Harga Promo hanya 375juta Dp 11juta Cash & Kpr Proses Kpr di bantu sampai Approval.  Lokasi sangat setrategis hanya 250mtr dri Plago hotel Mumbul Nusa Dua Bali.  Bonus : Free pajak & Balik Nama  Info detail hubungi nomer di profile, Terima Kasih.",Kanaka Hill Nusa Dua,Kuta Selatan,Kab. Badung,-8.800455,115.1993287
9,9,802680881,88686813,Dijual rumah tabanan,5158,Rp 425.000.000,"Dijual rumah kondisi sangat baik, 3 KT, 1KM, ruang keluarga, dapur dan garasi mobil. Akses jalan 5 meter. One gate system. Akses mudah 10 menit ke tanahlot 20 menit ke canggu 30 menit ke kuta 35 menit ke denpasar 10 menit ke kota tabanan Dekat pasar dan sekolah",Tabanan,Tabanan,Tabanan Kab.,-8.459556100000002,115.0465991
10,10,815365796,100428429,Rumah dan Kantor di Padangsambian,5158,Rp 8.200.000.000,"Lokasi : Jl Surya Buana  Padangsambian  Denpasar Barat   LT 462m²  Terdiri dari area parkir 140m² &  rumah 322m² 2 SHM    LB 440m² IMB 2012 (rumah tinggal & kantor) Bangunan hadap timur  Gerbang hadap utara  KT 5 KM 5 Ruang kerja  3 Ruang pertemuan ( aula ) Gudang Toilet 1 PLN 7700w Air sumur  Akses 4m  One gate perumahan  Semi furnished ( lemari pakaian,  ranjang dan yang menempel pada dinding)  Harga 8.2M nego",Surya Buana,Denpasar Barat,Denpasar Kota,-8.653498599999999,115.2615881
