,Unnamed: 0,Ad_id,User_id,Judul,Kategori,Harga,Deskripsi,Alamat,Kecamatan,Kab/Kota,LAT,LON
0,0,800291780,56863763,"Di Jual Tanah 1,5 Are di Perum Bethe Lestari Batubulan",4827,Rp 300.000.000,"Jual tanah sertifikat hak milik, lokasi jalan utama (jalan besar bisa akses truk) Perum Dangin Bethe Lestari Lokasi strategis, akses melalui Rumah sakit Premagana Batubulan Atau melalui Jl. Batu Intan Luas tanah 1,5 are Harga 300 jt per are  Langsung pemilik Tanpa perantara",Perum Kangin Bethe Lestari,Sukawati,Gianyar Kab.,-8.61628,115.2617073
1,1,806537590,91814026,Dijual Tanah view laut Kavling Karang Pandawa,4827,Rp 300.000.000,"Happy New Year 2021 Promo Tanah Kavling : - Harga 300 Juta Untuk 5 Kavling Pertama free pajak pembelian dan balik nama. Cukup tanda jadi 5 juta untuk keep lokasi, kavling terlengkap dan tinggal bangun ... lantai 2 view laut , akses 5m Paving , air dan listrik ready... bisa cash/ kredit ... kredit dibantu smpai ACC , peruntukan akomodasi wisata",Jalan Karang Pandawa,Kuta Selatan,Kab. Badung,-8.8419618,115.1740964
2,2,796274102,57691785,Dijual Kavlingan Baru dan gress di celuk cuma 10 menit k denpasar,4827,Rp 275.000.000,Hadirrr Kavlingan murah cantik sudah FREE SHM Berlokasi batubulan tembus Celuk gianyar  cuma 10 menit k denpasar Jalan lebar 5 meter hotmix  Cocok untuk : -Hunian pribadi -kos2n -investasi  Harga 275 juta/Are FREE SHM Minat??,Lokasi di celuk gianyar,Sukawati,Gianyar Kab.,-8.6015509,115.2670882
3,3,813523237,34385816,Di Jual Tanah 600m² Lokasi strategis sumberkima Buleeleng Bali,4827,Rp 450.000.000,Jual tanah 600m² Surat SHM  Lokasi nyaman Di daerah adem  arah pantai  Cocok buat hunian maupun rumah jual Di jual cepat tanpa perantara,"Jl.singaraja-gilimanuk,sumberkima,geroggak,buleleng bali",Buleleng,Buleleng Kab.,-8.1452414,114.6222477
4,4,815368986,111730075,Kavlingan Super Murah Terdekat Pantai Munggu,4827,Rp 4.990.054.000,KAVLING CANGGU  Kesempatan emas untuk  ber investasi di Canggu Bali. Tanah Kavling hak milik ini menawarkan akses langsung dari jalan utama Tumbak Bayuh Canggu dengan view pemandangan sawah yang menakjubkan.   DETAIL KAVLING SHM Hak Milik Luas Tanah mulai dari 200 m2 Infrastruktur & Fasilitas lengkap  PROMO AWAL TAHUN  HARGA Rp. 499 Juta per Are Normal Rp. 550 Juta per Are  Luas : 10 Are Harga Global : Rp.4.990.000.000  AKSESIBILITAS Bandara Ngurah Rai : 45 Menit Patung GWK : 35 menit Pantai Echo : 10 menit Pantai Lima : 10 menit    CONTACT Untuk fast response silahkan hubungi kami via whatsapp di nomor yang tercantum di iklan atau silahkan kirimkan pesan.  Happy Day!!,Jalan Tumbak Bayuh Canggu. Bali,Kuta Utara,Kab. Badung,-8.6230354,115.1455615
6,6,815368787,111730075,"Harga Minimalis, Tanah SHM Di Canggu Bali.",4827,Rp 4.990.040.000,KAVLING CANGGU  Kesempatan emas untuk  ber investasi di Canggu Bali. Tanah Kavling hak milik ini menawarkan akses langsung dari jalan utama Tumbak Bayuh Canggu dengan view pemandangan sawah yang menakjubkan.   DETAIL KAVLING SHM Hak Milik Luas Tanah mulai dari 200 m2 Infrastruktur & Fasilitas lengkap  PROMO AWAL TAHUN  HARGA Rp. 499 Juta per Are Normal Rp. 550 Juta per Are  Luas : 10 Are Harga Global : Rp.4.990.000.000  AKSESIBILITAS Bandara Ngurah Rai : 45 Menit Patung GWK : 35 menit Pantai Echo : 10 menit Pantai Lima : 10 menit    CONTACT Untuk fast response silahkan hubungi kami via whatsapp di nomor yang tercantum di iklan atau silahkan kirimkan pesan.  Happy Day!!,CANGGU.,Kuta Utara,Kab. Badung,-8.6478175,115.1385192
7,7,815368528,111730075,Dijual Tanah Siap Bangun Lokasi Premium Canggu Badung,4827,Rp 4.990.045.000,KAVLING CANGGU  Kesempatan emas untuk  ber investasi di Canggu Bali. Tanah Kavling hak milik ini menawarkan akses langsung dari jalan utama Tumbak Bayuh Canggu dengan view pemandangan sawah yang menakjubkan.   DETAIL KAVLING SHM Hak Milik Luas Tanah mulai dari 200 m2 Infrastruktur & Fasilitas lengkap  PROMO AWAL TAHUN  HARGA Rp. 499 Juta per Are Normal Rp. 550 Juta per Are  Luas : 10 Are Harga Global : Rp.4.990.000.000  AKSESIBILITAS Bandara Ngurah Rai : 45 Menit Patung GWK : 35 menit Pantai Echo : 10 menit Pantai Lima : 10 menit    CONTACT Untuk fast response silahkan hubungi kami via whatsapp di nomor yang tercantum di iklan atau silahkan kirimkan pesan.  Happy Day!!,CANGGU,Kuta,Kab. Badung,-8.6478175,115.1385192
8,8,815368293,111730075,Lahan View Sawah Lokasi Di Area Canggu. Bali,4827,Rp 4.990.010.000,KAVLING CANGGU  Kesempatan emas untuk  ber investasi di Canggu Bali. Tanah Kavling hak milik ini menawarkan akses langsung dari jalan utama Tumbak Bayuh Canggu dengan view pemandangan sawah yang menakjubkan.   DETAIL KAVLING SHM Hak Milik Luas Tanah mulai dari 200 m2 Infrastruktur & Fasilitas lengkap  PROMO AWAL TAHUN  HARGA Rp. 499 Juta per Are Normal Rp. 550 Juta per Are  Luas : 10 Are Harga Global : Rp.4.990.000.000  AKSESIBILITAS Bandara Ngurah Rai : 45 Menit Patung GWK : 35 menit Pantai Echo : 10 menit Pantai Lima : 10 menit    CONTACT Untuk fast response silahkan hubungi kami via whatsapp di nomor yang tercantum di iklan atau silahkan kirimkan pesan.  Happy Day!!,Pererenan. Canggu.,Denpasar Barat,Denpasar Kota,-8.638112,115.1325897
9,9,815368089,111730075,SHM Tanah Sudah Siap Bangun Di Canggu.Bali.,4827,Rp 4.990.004.500,KAVLING CANGGU  Kesempatan emas untuk  ber investasi di Canggu Bali. Tanah Kavling hak milik ini menawarkan akses langsung dari jalan utama Tumbak Bayuh Canggu dengan view pemandangan sawah yang menakjubkan.   DETAIL KAVLING SHM Hak Milik Luas Tanah mulai dari 200 m2 Infrastruktur & Fasilitas lengkap  PROMO AWAL TAHUN  HARGA Rp. 499 Juta per Are Normal Rp. 550 Juta per Are  Luas : 10 Are Harga Global : Rp.4.990.000.000  AKSESIBILITAS Bandara Ngurah Rai : 45 Menit Patung GWK : 35 menit Pantai Echo : 10 menit Pantai Lima : 10 menit    CONTACT Untuk fast response silahkan hubungi kami via whatsapp di nomor yang tercantum di iklan atau silahkan kirimkan pesan.  Happy Day!!,Pererenan. Canggu.,Kuta,Kab. Badung,-8.638112,115.1325897
10,10,815367845,111730075,Tanah Hak Milik Sangat Dekat Dengan Jalan Utama Tumbak Bayuh,4827,Rp 4.990.000.550,KAVLING CANGGU  Kesempatan emas untuk  ber investasi di Canggu Bali. Tanah Kavling hak milik ini menawarkan akses langsung dari jalan utama Tumbak Bayuh Canggu dengan view pemandangan sawah yang menakjubkan.   DETAIL KAVLING SHM Hak Milik Luas Tanah mulai dari 200 m2 Infrastruktur & Fasilitas lengkap  PROMO AWAL TAHUN  HARGA Rp. 499 Juta per Are Normal Rp. 550 Juta per Are  Luas : 10 Are Harga Global : Rp.4.990.000.000  AKSESIBILITAS Bandara Ngurah Rai : 45 Menit Patung GWK : 35 menit Pantai Echo : 10 menit Pantai Lima : 10 menit    CONTACT Untuk fast response silahkan hubungi kami via whatsapp di nomor yang tercantum di iklan atau silahkan kirimkan pesan.  Happy Day!!,Jalan Tumbak Bayuh. Pererenan. Canggu.,Denpasar Selatan,Denpasar Kota,-8.623130699999999,115.1375424
